formula,pred_stability,pred_bandgap,non_metal_confidence,promise_score
In(Sn3As5)2,0.14297497970859754,0.0,0.22313241976214582,0.0
In(SnAs2)5,0.16003634818690157,0.0,0.1521628107635291,0.0
InSn5As9,0.1470180526279895,0.0,0.18677628279506897,0.0
InSn5As8,0.14107252977648008,0.0,0.27245332737509254,0.0
In(SnAs2)4,0.16029585990624207,0.0,0.15282926154798515,0.0
InSn4As7,0.14069220889066986,0.0,0.23734436888481159,0.0
In(Sn2As3)2,0.14136416386987627,0.0,0.39024549571194234,0.0
In(SnAs2)3,0.14921713432345984,0.0,0.16102919127182191,0.0
InSn7As12,0.14148107937906965,0.0,0.1910145658802117,0.0
ZnSn6As11,0.1540586891974864,0.0,0.3460798455492363,0.0
Zn(Sn3As5)2,0.1297219248995825,0.0,0.4678141571392632,0.0
Zn(Sn2As3)3,0.12419828534543426,1.9431558499767554,0.6359049429213047,0.0
ZnSn5As9,0.1366555122547015,0.0,0.4127734418792033,0.0
ZnSn5As8,0.12533298709756746,0.0,0.4743607280521902,0.0
Zn(SnAs2)4,0.14933351242810455,0.0,0.30300748014659595,0.0
ZnSn4As7,0.12181244947154056,0.0,0.49924684096186245,0.0
Zn(Sn2As3)2,0.10719198712168483,2.13208990775933,0.5431327994565782,0.0
Zn(SnAs2)3,0.12280075937498056,0.0,0.26282270479734837,0.0
AlSn5As9,0.13363772285838024,0.0,0.3002274705436079,0.0
ZnSn3As4,0.21207068113656388,1.456780435710619,0.5749500456362944,0.0
Zn(SnAs2)2,0.15368611088230671,0.0,0.42300335623785323,0.0
ZnSn2As3,0.2825717726260637,1.2755646355354588,0.6080178967253698,0.0
ZnSnAs3,0.10567801580719252,0.0,0.3495489748346442,0.0
ZnSnAs,0.2739089785077665,1.7030344276106115,0.6634927236408743,0.0
ZnSn,0.12198039185312043,0.0,0.26081860575815274,0.0
Sn10TeAs16,0.1389101796549943,0.0,0.4412987503844281,0.0
Sn9TeAs16,0.15643973773844003,0.0,0.25694976703444883,0.0
Sn9TeAs15,0.15544121936240157,0.0,0.2405905727187786,0.0
Sn9TeAs14,0.13425618485748655,0.0,0.4532556351317778,0.0
ZnSn3As5,0.10310883359184606,2.0841362371881074,0.5413871569579123,0.0
AlSn5As8,0.11948474145480269,0.0,0.20522954814428096,0.0
Al(SnAs2)4,0.14510979862099085,0.0,0.11577869789036221,0.0
AlSn4As7,0.11393378674511015,0.0,0.17442240497196837,0.0
Al(Sn2As3)2,0.10380951312237709,0.0,0.2661792475044663,0.0
Al(SnAs2)3,0.1292756915536736,0.0,0.10600395429555787,0.0
AlSn3As5,0.10743248197736326,0.0,0.3168184486733605,0.0
AlSn3As4,0.2136014625614047,0.0,0.3104937462139833,0.0
Al(SnAs2)2,0.15944634734664842,0.0,0.208250463991431,0.0
AlSn2As3,0.285841181814152,0.0,0.4102208675259589,0.0
ZnSn7As11,0.1328807875547155,2.1596211466745996,0.5218911531667039,0.0
AlSnAs2,0.4812339754061135,1.6815345648192808,0.5096674929248959,0.0
AlSnAs,0.26679364127500993,0.0,0.3013945470992959,0.0
Zn(Sn5As8)2,0.136946884595694,0.0,0.49554324976451536,0.0
ZnSn9As16,0.15447644267913974,0.0,0.33914235439842033,0.0
Zn(Sn3As5)3,0.15360583636147282,0.0,0.32843090291798005,0.0
ZnSn9As14,0.13412639517386782,2.1337611996178003,0.511221073054903,0.0
